,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
1997-08-07,2.25,2.2604169845581055,2.125,2.1770830154418945,2.1770830154418945,2034000,AMZN,1.9144642,2.2916669845581055,0.0,-0.11458396911621094
1997-08-18,2.0520830154418945,2.0520830154418945,1.96875,2.0416669845581055,2.0416669845581055,1784400,AMZN,1.1029739,2.1666669845581055,0.0,-0.125
1997-08-21,2.1354169845581055,2.171875,2.0729169845581055,2.1145830154418945,2.1145830154418945,624000,AMZN,1.4504697,2.125,0.0,-0.010416984558105469
1997-09-05,2.5833330154418945,2.6666669845581055,2.4583330154418945,2.5,2.5,1908000,AMZN,1.7406054,3.0,0.0,-0.5
1997-09-08,2.53125,3.0208330154418945,2.5,3.0,3.0,5648400,AMZN,2.5729387,3.2395830154418945,0.0,-0.23958301544189453
1997-09-10,3.3125,3.328125,3.125,3.3020830154418945,3.3020830154418945,3866400,AMZN,2.2536228,3.15625,0.0,0.14583301544189453
1997-09-12,3.1875,3.6979169845581055,3.15625,3.6875,3.6875,3333600,AMZN,3.7018557,3.09375,-0.59375,0.0
1997-09-15,3.6666669845581055,3.6770830154418945,3.0520830154418945,3.09375,3.09375,5583600,AMZN,3.2604268,3.3541669845581055,0.26041698455810547,0.0
1997-09-16,3.125,3.5416669845581055,3.1197919845581055,3.3541669845581055,3.3541669845581055,6432000,AMZN,2.6675386,3.40625,0.0,-0.05208301544189453
1997-09-17,3.4583330154418945,3.5,3.3333330154418945,3.40625,3.40625,2607600,AMZN,3.2334142,3.2916669845581055,0.0,0.11458301544189453
1997-09-29,4.1458330154418945,4.1875,3.9583330154418945,4.0416669845581055,4.0416669845581055,2371200,AMZN,4.7501793,4.3385419845581055,0.296875,0.0
1997-10-06,4.0,4.125,3.9427080154418945,4.125,4.125,2028000,AMZN,3.8391976,4.0572919845581055,0.0,0.06770801544189453
1997-10-17,3.6145830154418945,3.65625,3.5208330154418945,3.625,3.625,2534400,AMZN,2.6349678,3.8229169845581055,0.0,-0.19791698455810547
1997-10-21,3.9583330154418945,4.4375,3.8541669845581055,4.4270830154418945,4.4270830154418945,12096000,AMZN,3.5821328,4.5208330154418945,0.0,-0.09375
1997-10-28,3.9166669845581055,5.0,3.875,4.9479169845581055,4.9479169845581055,11719200,AMZN,4.825492,5.390625,0.0,-0.44270801544189453
1997-11-05,4.9791669845581055,5.1197919845581055,4.875,4.875,4.875,3093600,AMZN,4.6461306,4.6614580154418945,0.0,0.21354198455810547
1997-11-07,4.4166669845581055,4.640625,4.3854169845581055,4.4791669845581055,4.4791669845581055,2626800,AMZN,3.736094,4.2083330154418945,0.0,0.27083396911621094
1997-11-17,4.2291669845581055,4.5416669845581055,4.21875,4.375,4.375,7394400,AMZN,4.4228597,4.4166669845581055,0.04166698455810547,0.0
1997-11-18,4.375,4.4791669845581055,4.34375,4.4166669845581055,4.4166669845581055,1866000,AMZN,4.1945305,4.5104169845581055,0.0,-0.09375
1997-11-20,4.5729169845581055,4.6041669845581055,4.5104169845581055,4.5833330154418945,4.5833330154418945,5923200,AMZN,4.456097,4.4895830154418945,0.0,0.09375
1997-12-04,4.4010419845581055,4.5520830154418945,4.3854169845581055,4.5,4.5,3038400,AMZN,3.9690917,4.59375,0.0,-0.09375
1997-12-12,4.6458330154418945,4.8020830154418945,4.40625,4.5416669845581055,4.5416669845581055,2672400,AMZN,3.4172225,4.5833330154418945,0.0,-0.04166603088378906
1997-12-16,4.6458330154418945,4.6458330154418945,4.4583330154418945,4.4583330154418945,4.4583330154418945,1687200,AMZN,4.2702327,4.390625,0.0,0.06770801544189453
1997-12-18,4.3541669845581055,4.4270830154418945,4.2291669845581055,4.2916669845581055,4.2916669845581055,3204000,AMZN,2.943501,4.5,0.0,-0.20833301544189453
1997-12-26,4.5625,4.6458330154418945,4.4895830154418945,4.5208330154418945,4.5208330154418945,487200,AMZN,4.0773644,4.75,0.0,-0.22916698455810547
1998-01-08,4.6979169845581055,4.703125,4.53125,4.6145830154418945,4.6145830154418945,6015600,AMZN,4.4038506,4.2604169845581055,0.0,0.35416603088378906
1998-01-21,4.9375,5.1666669845581055,4.875,5.0729169845581055,5.0729169845581055,8738400,AMZN,4.757349,5.1354169845581055,0.0,-0.0625
1998-01-27,4.8177080154418945,4.8645830154418945,4.6666669845581055,4.75,4.75,4104000,AMZN,5.6000767,4.7708330154418945,0.02083301544189453,0.0
1998-01-30,5.0,5.0625,4.8854169845581055,4.9166669845581055,4.9166669845581055,3722400,AMZN,5.027253,5.1979169845581055,0.28125,0.0
1998-02-18,5.1458330154418945,5.1458330154418945,5.0520830154418945,5.0729169845581055,5.0729169845581055,2971200,AMZN,5.627311,5.229166984558105,0.1562499999999991,0.0
1998-02-23,5.2916669845581055,5.4166669845581055,5.2083330154418945,5.40625,5.40625,3978000,AMZN,5.04415,5.40625,0.0,0.0
1998-02-25,5.46875,5.5416669845581055,5.2604169845581055,5.4895830154418945,5.4895830154418945,6745200,AMZN,3.1990092,6.0625,0.0,-0.5729169845581055
1998-03-02,6.3229169845581055,6.4375,6.25,6.3541669845581055,6.3541669845581055,10957200,AMZN,4.9083643,5.9791669845581055,0.0,0.375
1998-03-04,6.0,6.1875,5.8333330154418945,6.1197919845581055,6.1197919845581055,7314000,AMZN,7.788044,6.25,0.13020801544189453,0.0
1998-03-10,7.125,7.3541669845581055,6.90625,6.925780773162842,6.925780773162842,24750000,AMZN,5.20089,6.6354169845581055,0.0,0.29036378860473633
1998-03-16,6.6302080154418945,6.7291669845581055,6.5833330154418945,6.5833330154418945,6.5833330154418945,3312000,AMZN,8.1776705,6.65625,0.07291698455810547,0.0
1998-03-20,7.0,7.0729169845581055,6.9270830154418945,7.0,7.0,6412800,AMZN,6.449251,6.984375,0.0,0.015625
1998-03-26,6.8125,6.9791669845581055,6.625,6.8958330154418945,6.8958330154418945,7878000,AMZN,5.412989,7.0833330154418945,0.0,-0.1875
1998-04-01,7.1041669845581055,7.53125,7.002604007720947,7.5104169845581055,7.5104169845581055,14451600,AMZN,6.8541074,7.921875,0.0,-0.41145801544189453
1998-04-09,7.6979169845581055,8.0,7.6354169845581055,7.9375,7.9375,16034400,AMZN,8.366815,7.859375,-0.078125,0.0
1998-04-15,8.166666984558105,8.333333015441895,7.875,8.010416984558105,8.010416984558105,11192400,AMZN,7.5086355,8.208333015441895,0.0,-0.19791603088378906
1998-04-16,8.010416984558105,8.276041984558105,7.765625,8.208333015441895,8.208333015441895,16244400,AMZN,8.982602,7.906249999999999,-0.3020830154418954,0.0
1998-04-23,7.25,7.25,6.7083330154418945,6.75,6.75,12253200,AMZN,5.966081,7.072916984558105,0.0,-0.3229169845581046
1998-05-05,7.8333330154418945,7.9583330154418945,7.7604169845581055,7.809895992279053,7.809895992279053,5998800,AMZN,8.917627,7.53125,-0.27864599227905273,0.0
1998-05-06,7.8333330154418945,7.8333330154418945,7.5104169845581055,7.53125,7.53125,7438800,AMZN,8.209575,7.583333015441894,0.05208301544189364,0.0
1998-05-07,7.5833330154418945,7.75,7.3541669845581055,7.5833330154418945,7.5833330154418945,13887600,AMZN,7.160695,7.697916984558105,0.0,-0.11458396911621005
1998-05-15,7.65625,7.7083330154418945,7.4583330154418945,7.46875,7.46875,4628400,AMZN,8.752717,7.338541984558106,-0.13020801544189364,0.0
1998-05-29,7.15625,7.4166669845581055,7.125,7.34375,7.34375,8641200,AMZN,9.171746,7.1354169845581055,-0.20833301544189453,0.0
1998-06-02,7.2708330154418945,7.4166669845581055,6.9166669845581055,7.28125,7.28125,8201400,AMZN,7.4457173,7.0416669845581055,-0.23958301544189453,0.0
1998-06-05,7.2916669845581055,7.3958330154418945,7.1875,7.375,7.375,3427200,AMZN,7.124456,7.708333015441895,0.0,-0.3333330154418954
1998-06-08,7.3020830154418945,7.71875,7.25,7.7083330154418945,7.7083330154418945,5463000,AMZN,6.963603,8.541666984558105,0.0,-0.8333339691162109
1998-06-12,10.583333015441895,10.583333015441895,9.708333015441895,10.166666984558105,10.166666984558105,21655800,AMZN,7.948508,10.958333015441895,0.0,-0.7916660308837891
1998-07-02,19.291667938232422,20.916667938232422,18.75,20.666667938232422,20.666667938232422,52279800,AMZN,23.055182,23.25,2.583332061767578,0.0
1998-07-08,18.645832061767578,19.833332061767578,17.0625,17.854167938232422,17.854167938232422,58311600,AMZN,19.07632,17.583332061767578,-0.27083587646484375,0.0
1998-07-24,21.541667938232422,21.916667938232422,19.5,20.708332061767578,20.708332061767578,28974000,AMZN,20.934023,20.927082061767578,0.21875,0.0
1998-07-29,20.083332061767578,20.25,17.916667938232422,17.96875,17.96875,19644600,AMZN,19.56505,18.958332061767578,0.9895820617675781,0.0
1998-08-07,18.541667938232422,19.8125,18.229167938232422,19.333332061767578,19.333332061767578,23433000,AMZN,20.112583,20.270832061767578,0.9375,0.0
1998-08-13,21.770832061767578,22.5,21.166667938232422,21.25,21.25,24629400,AMZN,22.220903,20.458332061767578,-0.7916679382324219,0.0
1998-08-21,21.208332061767578,21.713542938232422,20.541667938232422,21.614582061767578,21.614582061767578,15136200,AMZN,20.895117,22.458332061767578,0.0,-0.84375
1998-09-17,13.40625,13.916666984558105,12.75,12.833333015441895,12.833333015441895,42457800,AMZN,9.965896,13.28125,0.0,-0.44791698455810547
1998-09-24,17.854167938232422,19.479167938232422,16.916667938232422,17.020832061767578,17.020832061767578,51124200,AMZN,17.064215,18.208332061767578,1.1875,0.0
1998-10-09,15.041666984558105,15.3125,13.958333015441895,15.197916984558105,15.197916984558105,20727000,AMZN,17.549885,15.531250000000002,0.3333330154418963,0.0
1998-10-12,16.1875,16.833332061767578,15.5,15.53125,15.53125,21817200,AMZN,19.01068,15.229166984558107,-0.30208301544189275,0.0
1998-10-14,15.177083015441895,16.270832061767578,14.958333015441895,15.583333015441895,15.583333015441895,15590400,AMZN,17.468626,16.177082061767578,0.5937490463256836,0.0
1998-10-15,15.708333015441895,16.3125,15.416666984558105,16.177082061767578,16.177082061767578,16971000,AMZN,15.4910345,16.572917938232422,0.0,-0.39583587646484375
1998-10-30,21.104167938232422,21.635417938232422,20.770832061767578,21.072917938232422,21.072917938232422,21182400,AMZN,18.5314,21.833332061767578,0.0,-0.7604141235351562
1998-11-10,21.375,23.333332061767578,21.354167938232422,21.958332061767578,21.958332061767578,34375800,AMZN,22.35313,21.104167938232422,-0.8541641235351562,0.0
1998-11-12,20.916667938232422,22.145832061767578,20.833332061767578,21.833332061767578,21.833332061767578,11974800,AMZN,24.30571,21.291667938232422,-0.5416641235351562,0.0
1998-11-23,31.8125,36.41666793823242,31.010417938232422,36.33333206176758,36.33333206176758,67781400,AMZN,32.86149,35.75,0.0,0.5833320617675781
1998-11-25,36.08333206176758,37.25,34.16666793823242,35.05208206176758,35.05208206176758,27522600,AMZN,31.481176,36.10416793823242,0.0,-1.0520858764648438
1998-12-01,30.916667938232422,34.95833206176758,30.333332061767578,34.91666793823242,34.91666793823242,47154600,AMZN,33.75096,33.25,0.0,1.6666679382324219
1998-12-02,34.48958206176758,34.58333206176758,32.92708206176758,33.25,33.25,29649000,AMZN,31.237396,31.583332061767578,0.0,1.6666679382324219
1998-12-04,32.58333206176758,32.83333206176758,30.416667938232422,31.416667938232422,31.416667938232422,22257600,AMZN,33.254005,31.833332061767578,0.41666412353515625,0.0
1998-12-08,31.604167938232422,34.3125,31.416667938232422,34.01041793823242,34.01041793823242,25549800,AMZN,34.737587,36.04166793823242,2.03125,0.0
1998-12-10,36.27083206176758,37.33333206176758,34.9375,35.52083206176758,35.52083206176758,30361800,AMZN,33.01267,37.16666793823242,0.0,-1.6458358764648438
1998-12-11,35.01041793823242,37.33333206176758,35.0,37.16666793823242,37.16666793823242,25467600,AMZN,38.762135,37.04166793823242,-0.125,0.0
1998-12-17,44.0,48.58333206176758,43.42708206176758,46.125,46.125,67635000,AMZN,36.976635,47.78125,0.0,-1.65625
1998-12-18,47.16666793823242,48.16666793823242,46.3125,47.78125,47.78125,22951800,AMZN,55.70778,53.125,5.34375,0.0
1999-01-05,54.78125,64.875,53.25,62.25,62.25,62873200,AMZN,57.027843,69.0,0.0,-6.75
1999-01-22,49.75,62.9375,49.375,61.5,61.5,43765800,AMZN,59.146667,56.1875,0.0,5.3125
1999-01-25,60.75,61.6875,55.0,56.1875,56.1875,27323800,AMZN,60.92761,57.546875,1.359375,0.0
1999-01-29,60.8125,60.8125,57.5,58.46875,58.46875,16396000,AMZN,61.165276,57.9375,-0.53125,0.0
1999-02-02,58.1875,58.21875,54.25,55.125,55.125,13048600,AMZN,56.44774,62.875,7.75,0.0
1999-02-08,57.1875,57.5625,52.875,54.5625,54.5625,12598200,AMZN,52.42458,50.0,0.0,4.5625
1999-02-10,49.125,51.6875,47.5,48.71875,48.71875,13205000,AMZN,46.842915,54.9375,0.0,-6.21875
1999-02-12,54.0,54.9375,51.8125,52.25,52.25,7765400,AMZN,52.680477,49.3125,-2.9375,0.0
1999-02-23,55.0625,58.5,54.75,57.59375,57.59375,21139200,AMZN,58.86259,55.46875,-2.125,0.0
1999-03-10,68.375,69.46875,67.0,68.5625,68.5625,14117600,AMZN,68.500984,67.4375,0.0,1.125
